"id","ident","type","name","latitude_deg","longitude_deg","continent","iso_country","iso_region","gps_code","iata_code","local_code"
2601,ENVA,large_airport,Trondheim Airport Værnes,63.45780179999999,10.9239998,EU,NO,NO-17,ENVA,TRD,
29284,ENVD,medium_airport,Vadsø Airport,70.065299987793,29.844699859619002,EU,NO,NO-20,ENVD,VDS,
2602,ENZV,large_airport,Stavanger Airport Sola,58.876701354,5.637780189500001,EU,NO,NO-11,ENZV,SVG,
31012,EPBP,medium_airport,Biała Podlaska Airfield,52.00078,23.132527800000002,EU,PL,PL-LU,EPBP,BXP,
2604,EPBY,medium_airport,Bydgoszcz Ignacy Jan Paderewski Airport,53.096801757799994,17.9776992798,EU,PL,PL-KP,EPBY,BZG,
2605,EPCE,medium_airport,Cewice Air Base,54.416000000000004,17.7633,EU,PL,PL-PM,EPCE,,
2607,EPDE,medium_airport,Deblin Military Air Base,51.551399231000005,21.8936004639,EU,PL,PL-LU,EPDE,,
2608,EPGD,large_airport,Gdańsk Lech Wałęsa Airport,54.377601623535156,18.46619987487793,EU,PL,PL-PM,EPGD,GDN,
29975,EPIR,medium_airport,Inowroclaw Military Air Base,52.829399108900006,18.3306007385,EU,PL,PL-KP,EPIR,,
2609,EPKK,large_airport,Kraków John Paul II International Airport,50.077702,19.7848,EU,PL,PL-MA,EPKK,KRK,
2612,EPKS,medium_airport,Krzesiny Military Air Base,52.331699371300004,16.9664001465,EU,PL,PL-WP,EPKS,,
2613,EPKT,large_airport,Katowice International Airport,50.4743,19.08,EU,PL,PL-SL,EPKT,KTW,
2615,EPLK,medium_airport,Lask Military Air Base,51.551700591999996,19.1791000366,EU,PL,PL-LD,EPLK,,
2616,EPLL,medium_airport,Łódź Władysław Reymont Airport,51.721900939899996,19.3980998993,EU,PL,PL-LD,EPLL,LCJ,
31015,EPLY,medium_airport,Leczyca Military Air Base,52.004699707,19.1455993652,EU,PL,PL-LD,EPLY,,
2618,EPMB,medium_airport,Malbork Military Air Base,54.0269012451,19.1341991425,EU,PL,PL-PM,EPMB,,
2619,EPMI,medium_airport,Miroslawiec Military Air Base,53.395099639899996,16.0827999115,EU,PL,PL-ZP,EPMI,,
2621,EPMM,medium_airport,Minsk Mazowiecki Military Air Base,52.19549942020001,21.6558990479,EU,PL,PL-MZ,EPMM,,
2622,EPMO,large_airport,Modlin Airport,52.451099,20.6518,EU,PL,PL-MZ,EPMO,WMI,
2623,EPOK,medium_airport,Oksywie Military Air Base,54.57970047,18.51720047,EU,PL,PL-PM,EPOK,QYD,
2625,EPPO,large_airport,Poznań-Ławica Airport,52.4210014343,16.8262996674,EU,PL,PL-WP,EPPO,POZ,
2627,EPPW,medium_airport,Powidz Military Air Base,52.379397999999995,17.853901,EU,PL,PL-WP,EPPW,,
2628,EPRA,medium_airport,Radom Airport,51.3891983032,21.213300705,EU,PL,PL-MZ,EPRA,RDO,
2629,EPRZ,medium_airport,Rzeszów-Jasionka Airport,50.1100006104,22.018999099699997,EU,PL,PL-PK,EPRZ,RZE,
2630,EPSC,medium_airport,"Szczecin-Goleniów ""Solidarność"" Airport",53.584701538100006,14.902199745199999,EU,PL,PL-ZP,EPSC,SZZ,
2633,EPSN,medium_airport,Swidwin Military Air Base,53.790599823,15.8262996674,EU,PL,PL-ZP,EPSN,,
2635,EPSY,medium_airport,Olsztyn-Mazury Airport,53.481899,20.9377,EU,PL,PL-WN,EPSY,SZY,
31016,EPTM,medium_airport,Tomaszow Mazowiecki Military Air Base,51.584400177,20.0977993011,EU,PL,PL-LD,EPTM,,
2637,EPWA,large_airport,Warsaw Chopin Airport,52.1656990051,20.9671001434,EU,PL,PL-MZ,EPWA,WAW,
2638,EPWR,large_airport,Copernicus Wrocław Airport,51.10269927979999,16.885799408,EU,PL,PL-DS,EPWR,WRO,
2639,EPZG,medium_airport,Zielona Góra-Babimost Airport,52.1385002136,15.7986001968,EU,PL,PL-LB,EPZG,IEG,
2643,ESCF,medium_airport,Malmen Air Base,58.40230178833008,15.525699615478516,EU,SE,SE-E,ESCF,,
2646,ESDF,medium_airport,Ronneby Airport,56.266700744629,15.265000343322999,EU,SE,SE-K,ESDF,RNB,
2647,ESFR,medium_airport,Råda Air Base,58.49810028076172,13.053199768066404,EU,SE,SE-Q,ESFR,,
2648,ESGG,large_airport,Gothenburg-Landvetter Airport,57.662799835205,12.279800415039,EU,SE,SE-Q,ESGG,GOT,
2649,ESGJ,medium_airport,Jönköping Airport,57.75759887695313,14.068699836730955,EU,SE,SE-F,ESGJ,JKG,
2652,ESGP,medium_airport,Gothenburg City Airport,57.7747,11.8704,EU,SE,SE-Q,ESGP,GSE,
2653,ESGR,medium_airport,Skövde Airport,58.45640182495117,13.972700119018555,EU,SE,SE-Q,ESGR,KVB,
2654,ESGT,medium_airport,Trollhättan-Vänersborg Airport,58.31809997558594,12.345000267028807,EU,SE,SE-Q,ESGT,THN,
2656,ESIB,medium_airport,Såtenäs Air Base,58.42639923095703,12.714400291442873,EU,SE,SE-Q,ESIB,,
2658,ESKK,medium_airport,Karlskoga Airport,59.34590148925781,14.49590015411377,EU,SE,SE-T,ESKK,KSK,
2659,ESKM,medium_airport,Mora Airport,60.957901,14.5114,EU,SE,SE-W,ESKM,MXX,
2660,ESKN,medium_airport,Stockholm Skavsta Airport,58.78860092163086,16.912200927734375,EU,SE,SE-D,ESKN,NYO,
29341,ESKX,medium_airport,Björkvik Air Base,58.79079818725586,16.571199417114258,EU,SE,SE-D,ESKX,,
2664,ESMK,medium_airport,Kristianstad Airport,55.92169952392578,14.08549976348877,EU,SE,SE-M,ESMK,KID,
2668,ESMQ,medium_airport,Kalmar Airport,56.68550109863281,16.287599563598633,EU,SE,SE-H,ESMQ,KLR,
